姑 过
幵 开
錢 钱
歉 欠
倩 欠
個 个
剛 刚
胀 账
帳 账
叧 另
規 规
丟 丢
梓 么
笫 第
則 则
泽 择
電 电
調 调
踩 才
蔡 才
阔 可
毎 每
怅 账
査 查
車 车
茌 花
遲 迟
妃 为
費 费
浓 弄
碼 码
骂 吗
魔 摩
糸 细
壮 状
叹 呗
陶 淘
評 评
厚 后
拦 栏
篮 蓝
來 来
珐 法
罰 罚
買 买
酱 降
蒋 降
矿 款
狂 款
卅 啥
宣 删
玏 功
叻 了
莉 里
丽 里
哩 里
厉 里
甪 用
肔 服
欹 款
仟 千
涮 刷
廷 延
岀 出
佰 百
啤 碑
勒 了
喻 逾
巳 已
欺 期
開 开
還 还
為 为
侯 候
堤 提
嚒 么
俞 逾
嘞 了
愈 逾
額 额
卷 券
曰 日
嗎 吗
麼 么
麽 么
乙 已
亿 已
胆 但
叨 嘛
叶 页
绐 给
貸 贷
榜 绑
梆 绑
綁 绑
愉 逾
昱 里
欲 逾
雨 与
玉 与
渝 逾
弍 式
乳 用
腐 付
伏 付
負 付
夫 付
夠 够
購 购
鈤 日
田 天
甜 填
挑 调
堡 宝
胞 宝
寶 宝
説 说
說 说
雪 学
筠 运
粤 月
赞 暂
吸 息
甬 通
勇 用
贯 关
冬 冻
栋 冻
囙 回
銀 银
歆 完
佝 何
筘 扣
貨 货
栓 删
權 权
拳 券
虫 了
唄 呗
貝 呗
扔 仍
臨 临
揍 款
慨 概
喀 额
咔 卡
轲 可
磕 可
樣 样
洋 样
瞪 登
収 收
冯 吗
闹 弄
嗨 还
颌 额
胃 为
崴 为
纬 为
囗 口
問 问
錯 错
吋 时
崔 催
別 别
戗 钱
枪 清
培 赔
陪 赔
粑 把
叭 呗
坝 呗
怼 对
鼻 比
毙 闭
臂 呗
卜 不
布 不
腨 用
淸 清
轻 清
凊 清
請 请
躲 多
菅 营
饯 钱
減 减
剪 减
脚 交
繳 交
睌 晚
灣 湾
經 经
刭 到
宴 延
驗 验
讠 之
兩 两
換 还
孒 了
戶 户
禾 何
贺 和
祝 况
夂 久
吱 支
职 值
拱 供
宫 营
窃 切
抄 超
吵 超
傲 以
祢 你
昵 呢
泥 呢
肿 怎
讷 呐
餮 餐
幼 动
犹 怀
證 证
証 证
鹅 额
莪 我
猛 能
萌 能
帝 低
啲 的
鍀 的
給 给
杜 度
嘟 都
镀 度
竖 公
述 诉
設 设
舍 设
涉 设
佘 余
绊 绑
扮 办
屎 是
昰 是
侍 待
师 是
時 时
敗 败
栅 删
扎 咋
渣 咋
炸 咋
乍 咋
洼 清
剧 刷
腿 退
無 无
吾 我
唔 客
届 借
機 机
济 机
扥 等
脱 拖
茨 款
辞 迟
童 通
痛 通
挷 绑
嗳 爱
挨 爱
幺 么
咬 要
杳 查
辟 批
丕 不
锤 吹
谝 骗
嫌 限
現 现
肖 消
蝙 变
匆 充
聪 充
捉 提
紅 红
眷 劵
珊 删
刪 删
颃 用
圆 元
扭 钮
杞 从
琪 期
呮 呗
歧 期
氣 气
花被 花呗
ma 吗
花唄 花呗
花坝 花呗
花多上 花多少
花百 花呗
花背 花呗
节清 结清
花花 花
花能 花呗能
花裁 花
花贝 花呗
花能 花呗能
蚂蚊 蚂蚁
蚂蚱 蚂蚁
蚂议 蚂蚁
螞蟻 蚂蚁
借唄 借呗
发呗 花呗
结呗 借呗
戒备 借呗
压金 押金
